title,rating,summary
Filme Popular Otimizado tt0000001,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000002,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000003,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000004,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000005,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000006,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000007,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000008,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000009,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000010,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000011,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000012,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000013,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000014,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000015,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000016,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000017,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000018,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000019,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000020,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000021,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000022,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000023,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000024,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000025,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000026,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000027,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000028,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000029,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
Filme Popular Otimizado tt0000030,8.7,Sinopse gerada via processamento paralelo concorrente para validação do script da EBAC.
